,title,location,description
0,"
Assistant Merchant, Women's Dresses
","


Express

","To Apply: After clicking link, enter 3794078 for requisition number.

Express is a specialty apparel and accessories retailer of women's and men's merchandise, targeting the 20 to 30 year old customer. The Company has over 30 years of experience offering a distinct combination of fashion and quality for multiple lifestyle occasions at an attractive value addressing fashion needs across work, casual, jeanswear, and going-out occasions. The Company currently operates over 600 retail stores, located primarily in high-traffic shopping malls, lifestyle centers, and street locations across the United States, Puerto Rico, and Canada, and also distributes its products through the Company's e-commerce website, www.express.com.

The Associate Merchant collaborates with the Merchant or Senior Merchant in leading a cross functional team to achieve financial goals of the division and the company. The Associate Merchant understands components of building a successful business based on sales, history, and market trends. In season, they have the ability to generate and analyze financial reporting indentifying upside opportunity as well as potential sales risk, and make recommendations on how to increase sales and reduce markdowns delivering both top and bottom line growth in the product category. Additionally, the Associate Merchant handles operational functions including on order management, price changes, and sample organization.
Essential Requirements 
Education: Bachelor's degree in related field or equivalent experience 
Experience: 3 - 5 years of related work experience in Merchandise Buying 
Up to 10% travel 

Preferred Requirements (skills and abilities) 
Broad-based business acumen with the potential to grow to the Merchant level
Ability to take analysis to measurable action in a timely fashion
Strong analytical and strategic thinking skills 
Exceptional leadership capabilities with the ability to influence cross functional partners 
Acute sense of brand and customer intimacy 
Strong presentation skills 
Ability to grow and develop talent 
Must be accurate, proactive, display a sense of urgency, and be able to anticipate next 
Acute fashion sense with proven talent to envision and interpret fashion trends 
Ability to manage through conflict and problem-solve 
Exceptional ability to bridge and enhance cooperative working relationships 
Strong organizational skills with the ability to multi-task and prioritize 
Exceptional written and oral communication skills 
Systems and computer savvy, including Microsoft Office Applications
.

An equal opportunity employer, Express, LLC does not discriminate in hiring or terms and conditions of employment because of an individual's race, color, religion, gender, national origin, citizenship, age, disability, sexual orientation or marital status. Express, LLC only hires individuals authorized for employment in the United States."
1,"
Holiday Retail Visual Merchandiser
","


Macy's

","Description
 
Overview:

As a Holiday Visual Merchandising Associate, you will be an integral part of bringing the magic of Macy's to life during the fast-paced holiday season.  Associates in this role perform a number of functions that are critical to offering our customers the best experience when they shop in our store.   While all holiday positions require working as part of a team to meet department and store objectives, your individual responsibilities include creating the customer's first impression of Macy's.  We will rely on you to not only implement corporate visual standards, but also add your own unique and innovative visual flair.  Holiday Visual Merchandising Associates are an integral part of Macy's success, giving us the ability to maintain our iconic merchandising standards, recognized as among the best in the industry.
 
In order to present our customers with the best holiday shopping experience, many of our Holiday Visual Merchandising Associates arrive prior to store opening and remain after closing to ensure we are ready to make Macy's magic.  Holiday associates will have the opportunity to work a flexible schedule on a temporary basis, which may include early mornings, evenings, weekends and busy events such as the day after Thanksgiving and the day after Christmas.  And don't forget - just in time for holiday shopping, you will receive an employee discount of up to 20% starting your first day!
 
Essential Functions:
 
Be creative, innovative and imaginative through execution of Visual Merchandising
Execute visual standards according to company directives
Maintain and present visual displays in an influential manner
Produce quality work in a consistent, timely and organized manner
Update/maintain mannequin and form styling as directed by new receipts and seasonal changes
Grid fixtures /Adjust lighting
Installation of window displays (where applicable)
Execute the promotional calendar
Maintain Visual shop, department tools, supplies and visual equipment
Assist with special events
Perform other duties as assigned
Regular, dependable attendance and punctuality
Qualifications:
Education/Experience: Prior Visual Display, Fashion Merchandising, Design experience a plus; experience in retail merchandising in ready-to-wear or home
Communication Skills: Strong communication and interpersonal skills. Ability to read and interpret a variety of diagrams
Mathematical Skills: No specific mathematical skills required
Reasoning Ability: Ability to work as part of a team, or independently with little direct supervision
Physical Demands: Position may include frequent lifting, bending, reaching, and the use of ladders and other equipment.
Other Skills: Highly organized with an attention to detail. Comfortable in using a computer and open to learning new programs and systems.
Work Hours: Available to work a flexible schedule, which may include early morning, evening, overnight, weekends, holidays, and major sales events. Hours are subject to change based on business needs.
Macy's is an Equal Opportunity Employer, committed to a diverse and inclusive work environment"
2,"
VP Research Analyst, High Yield
","


AIG

","AIG Investments, a unit of American International Group, Inc., seeks to add a mid-level credit analyst to its High Yield Public Corporate Bond Research team. 

Position Summary
The candidate will maintain primary coverage in one or more High Yield industry sectors. This position is for various industries, no specific sector experience is required. Five to seven years of varied corporate credit, leveraged finance, or capital markets/investment banking is preferred, as is MBA or CFA. The successful candidate will have the ability to work independently within a PM/Trading/Research team environment and be accomplished at forming and communicating timely, clear and fact-based investment recommendations both verbally and in writing. 

Position Requirements 
-Ideal Candidate Should Have:
-5-7 years of relevant experience in High Yield/Leveraged Finance
-Good financial modeling skills/experience
-Able to understand and interpret bond covenants
-Strong verbal and written communication skills
-Ability to generate well-articulated and supported investment recommendations
-Collaborate in a team environment
-B.S. / B.A. degree, MBA/CFA preferred 

About Us 
American International Group, Inc. (AIG) is a leading international insurance organization serving customers in more than 130 countries and jurisdictions. AIG companies serve commercial, institutional, and individual customers through one of the most extensive worldwide property-casualty networks of any insurer. In addition, AIG companies are leading providers of life insurance and retirement services in the United States.

AIG Property Casualty is a global market leader, one of the few truly global property casualty franchises.

AIG Life and Retirement is one of the largest life insurance organizations in the U.S., and provides protection, investment and income solutions needed for financial and retirement security.

United Guaranty Corporation is the marketplace leader in mortgage insurance in the U.S."
3,"
Designer- Simply Vera Vera Wang
","


Kohls

","POSITION OBJECTIVE
Responsible for designing timely assortment that is relevant to brand position and target customer. Executes large category or small brand independently throughout development process.
 
PRIMARY RESPONSIBILITIES
Conceptual Development
Actively participate in the conceptual development of the brand with Sr. Designer
Create seasonal color palette and concepts
Provide direction for colorand art development to artist
Responsible for seasonal presentations at milestone and working sessions
Partner with Trend and Design Team to prioritize trends for area of responsibility and to share creative ideas
Responsible for researching the domestic market in order to identify new trends, fabrics, techniques, etc.
Influences decision-making at the buyer/ sr. buyer level; key partner to Brand Manager
Style, Fabric & Trim Development
Responsible for entire product design process to include color, art direction, fabric & trim research, concept board creation, sketching, and fit as pertains to styling.
Responsible for fabric and trim direction / selection.
Meet with vendors for sourcing of fabric and trim; review seasonal concept direction.
Ensure that product is consistent with market trends as well as business strategy.
Responsible for completion and handoff of tech pack to Tech Design
Develop within the parameters of the line plan.
Approves counter sample that reflects design vision.
Required
In-depth knowledge of silhouette, fabrication, construction and trim research.
Strong design and conceptual skills.
Proficient in Illustrator or related system - ability to learn how to design through new/advanced technology
Strong presentation skills
Minimum 5 years previous design experience.
Preferred
Strong organizational and time management skills.
Strong sense of color and ability to create art direction
College degree in Fashion Design or related field.
Understanding of merchandising process
Special Requirements
Travel as needed
This describes general information about the position however should not be considered comprehensive. Our company reserves the right to modify job duties or descriptions at any time. This is not an employment contract."
4,"
eCommerce Senior Product Manager 
","


Bebe

","We are looking for an outstanding senior product manager ecommerce, who is passionate about innovation and thoroughly controls and communicates the scope, schedule, status, and risk for assigned projects. This position will collect the requirements from the business leader, manage expectation, and ensure the project is delivered as stated and agreed. 
Responsibilities: 
•	Partner with executive and business owners, IT teams and other user experience counterparts to formulate and adjust ecommerce solution ideas and strategies.
•	Assist in the development of the offering's road map, business case, and lifecycle definitions.
•	Be very hands-on; design, develop, coordinate the efforts of external and internal development teams to manage the day-to-day development activities by driving architecture decisions, participating in designs, design reviews, and implementation management. 
•	Identify risks and develop risk mitigation strategies.
•	Coordinate all activities required to prepare the product for launch including UAT, staging, load testing, and launch planning; interaction across the organization to ensure availability of resources and materials on-plan (includes product testing, operational and support preparedness and support of market launch)
•	Define and manage the pilot and test plan where applicable
•	This position will be involved in all phases of product development from vendor selection to review of functional specifications through assisting with the design and oversight of the development activities, and post-live maintenance of code and functionalities developed. 
•	Maintain current technical knowledge to support rapidly changing technology, be always on a look out for new technologies and work with management and development team in bringing new technologies on board.
•	Act as the key problem solver and trouble-shooter in technically difficult/complex/escalated incidents.
•	This position will involve post-live 24x7 operational support including management of external vendors and SLA agreements to ensure site excellence and world-class stability and availability.

Desired Skills & Experience: 
•	BS or higher degree in Information Systems, or equivalent.
•	3-5+ years of stable, professional experience in the management of implementation of an ecommerce site.
•	Must be familiar with at least one large scale ecommerce architecture
•	Experience of Agile project management
•	Strong understanding working with and using Web Services and with database-driven websites
•	Passion to stay abreast of latest web related IT topics.
•	Have experience in automated testing and continuous integration.
•	Strong project management skills and ability to coordinate the efforts of internal and external development teams
•	Experience working with MS SQL Server or any other relational database including developing store procedures
•	Experience in the following are a great plus:
•	Keynote Scripting and Monitoring 
•	Adobe Scene 7
•	Adobe Site catalyst/Omniture
•	Creating client experiences using recommendation engines
•	HTML, CSS, JavaScript, AJAX
•	Mobile optimized Web Solutions"
5,"
Equity Research Associate, Medical Technology
","


Canaccord Genuity

","anaccord Genuity is a leading independent financial services firm committed to fostering the entrepreneurial economy by bringing corporate and institutional clients unique perspective on global investment opportunities. With operations in research, sales and trading, and investment banking, our more then 2,400 professionals seek out emerging opportunities in our key sectors - Technology, Energy, Real Estate, Life Sciences, Metals and Mining, Consumer, Sustainability and Infrastructure. Located in eight offices internationally, our experienced team generates focused, actionable ideas that identify opportunity and facilitate growth.

The Equity Research Associate works in partnership with the Senior Research Analyst to develop deep expertise in the medical device industry coverage sector. As an Associate, you will conduct fundamental research and analysis of individual companies. You will be responsible for writing, investigating, and conducting channel-checks which will support the research franchise. The ideal candidate will be a able to thrive in a very fast-paced, demanding environment.  Passion for medical devices, stocks/equity research, and integrity are a must.

Responsibilities
 • Write extensively on investment recommendations to institutional investors.
 • Help build and maintain coverage of the Medical Technology sector.
 • Keep abreast of company filings and industry-related news flow.
 • Help generate investment ideas through industry contacts.
 • Generate detailed reports/notes on relevant investment themes and events.
 • Develop and maintain relationships with investor relations personnel and management of companies under coverage.
 • Other duties as assigned.

Qualifications and skills
 • 3-5 years of medical device, healthcare, or hospital administrative experience.
 • BA/BS. MBA and/or CFA preferred
 • Strong work ethic
 • Attention to detail
 • Ability to multitask and manage time effectively
 • Excellent quantitative and analytical skills
 • Proven ability to analyze complex investment concepts, develop investment theories and communicate ideas effectively 
 • Strong writing skills
 • Team player
 • Strong PC skills - Excel (a must), Word and PowerPoint

Qualified applicants are invited to submit a resume, cover letter and your availability.

Please e-mail your application in PDF format to Kyle Rose at krose@canaccordgenuity.com and quote “Chicago Medtech Associate” in the subject line to be considered.

We wish to thank all candidates for their interest but only those applicants selected for an interview will be contacted. No telephone calls or recruitment agencies will be accepted. Thank you for your understanding."
6,"
Private Clients (Personal Shopper)
","


Burberry

","THE BRAND

Founded in 1856, Burberry is a global luxury brand with a distinctly British attitude. Headquartered in London and listed on the London Stock Exchange, Burberry continues to create new opportunities for growth and development.
 

THE PERSON

The ideal candidate will have:

From the moment that you join our team we aspire to make your employment experience a memorable and engaging one. Our people are passionate and proud of Burberry and our product; this energy, attitude and spirit define us. If you are energetic, hardworking and thrive in a collaborative and fast paced environment then please apply with a CV and covering letter, stating your salary details and notice period."
7,"
Styling Coordinator
","


ShopBop

","Job Description
Shopbop is looking for an organized, detail-oriented individual with an eye for fashion to coordinate samples and merchandise for our editorial photo shoots.

Responsibilities
• Work closely with marketing, buying, and planning to understand on-order and give suggestions for items to use in upcoming stories.
• Communicate with vendors about samples, schedules, and styling requirements.
• Coordinate all samples and merchandise from source to set.
• Coordinate return of all merchandise in expected timeframes.
• Assist with other duties as assigned.

Basic Qualifications
• Bachelor’s degree from an accredited university.
• 1 year of related experience in e-commerce, fashion, retail, or photo studio environment.
• Knowledge of contemporary and designer brands.
• Knowledge of current fashion trends.
• Excellent communication skills.
• Detail-oriented and organized.
• Working knowledge of Microsoft Excel, and the ability to learn internal software systems.
• Proven track record of managing multiple priorities in a fast-paced environment.

Preferred Qualifications
• Intermediate understanding of fashion industry and current trends

About Shopbop
Shopbop is the premier online shopping destination for what’s new and what’s next in fashion and style, offering women around the world the best selection from both established and emerging designers. Working with more than 500 international brands, Shopbop offers women in 165 countries a selective and nuanced fashion-forward assortment of ready-to-wear and accessories with fast, free global shipping. Shopbop is part of the Amazon.com Inc. group of companies.

Shopbop is an equal opportunity employer."
8,"
Financial Services, Wealth Management, Senior Manager Job
","


North Highland

","Financial Services - Wealth Management - Senior Manager

Location US-NY-New York
Industry Financial Services - Wealth Management
Service Area Performance/Process Management

Overview

OWN YOUR LIFE
OWN YOUR CAREER
OWN YOUR COMPANY

Our employee-owned company has achieved significant growth and for the last six years has ranked #4 or higher in Consulting Magazine’s Best Firms to Work For. We are a collaborative, entrepreneurial company that takes pride in our people, culture, clients and work-life balance.

Responsibilities
Senior Managers fill the role of Project Team Member or Project Manager
- Planning and guiding large or complex consulting projects
- Focusing on management of projects and people; business development, and subject matter knowledge in a specialized area
- Ability to perform project staffing, invoicing, budgeting, profitability analysis processes as well as contact and opportunity/funnel management
- Developing partnership relationships with senior level client personnel
- Preparing and coordinating development of quality deliverables
- Developing professional network through association memberships, speaking and writing engagements and community activities

Qualifications
- 10+ years of management consulting, advisory, professional services and/or Big 4 consulting experience
- Experience driving business requirements, identifying gaps and omissions, and designing solutions
- Proposal development experience including the ability to effectively sell business solutions to clients
- Financial Services experience in Private Banking / Wealth Management / Retirement Investment Products
- Bachelor's Degree from an accredited college/university

Preferred Skills
- Master's degree and/or professional certifications
- Demonstrated track record of managing large and complex consulting engagements; including a role in managing and interfacing with senior level client executives
- Ability to establish immediate credibility with clients and within the company; can build consensus and achieve goals through influence
- Excellent interpersonal/communication skills
- Creative thinking and ability to seek innovative solutions to complex technical/business problems

North Highland is a global consulting company with a proven record of enabling great returns on our clients’ investment. Our high-caliber consultants offer deep experience and expertise across many diverse industries and service areas. We specialize in solving tough business challenges, being easy to work with, and nurturing long-standing relationships with the most recognizable brands in the world. Ask any of our clients, and they’ll tell you.

Our Financial Services Team has demonstrated leadership and success in managing complex initiatives for Domestic and International Financial Services Clients. We combine deep Financial Service Experience with best practices across consumer banking, commercial banking, wealth management and capital markets. Our capabilities cover a breadth of services from back office, front office (distribution channels), marketing and customer experience to risk management.

North Highland is an equal employment opportunity company committed to diversity in the workplace."
9,"
Designer - Women's Shoes
","


Dolce Vita

","• Design and development of seasonal collections for Dolce Vita 
   footwear Line

• Researches concepts, materials and color trends

• Prepares spec package for factories

• Attend trade show to observe new trends and materials

• Ensures timely development of line by adhering to time and 
   action calendar

• Communicate technical design information to product 
   development team

• Researches competition and directional fashion houses on a 
   regular basis.

• Stays abreast of current and emerging trends via, retailing, 
   web sites, trend services and editorials.

• Travel to Asia with developmental partners to execute 
   designs; partner with factories to ensure design and quality 
   standards are met.

• Assist head of design with proto fittings 

• Follow up on material development and approvals

• Communicate with agents, offices and factories on all 
   developments

• Posses high fashion aesthetic 

• Willingness and ability to travel

• Ability to sketch both technical drawings and freeform 
   sketches and renderings  

• 3-5+ yrs experience

• Experience in developing product directly with factories; 
   understanding development from concept through 
   manufacturing                 

• Must be highly organized and willing to assist in 
   administrative duties                        

• Knowledge of Microsoft Word, Excel, Outlook, Photoshop, 
   Illustrator CAD experience preferred

• Bachelor's degree in Fashion Design

Please reference Job Title in the subject line of your message"
